0:	2.713186177061E-06
1:	4.797171186510E-06
2:	6.663874501101E-06
3:	8.741857527639E-06
4:	1.101567613659E-05
5:	1.298600454902E-05
6:	1.484782205807E-05
7:	1.652154060139E-05
8:	1.800194513635E-05
9:	1.964340481209E-05
10:	2.109848719556E-05
11:	2.272496749356E-05
12:	2.451417640259E-05
13:	2.577049053798E-05
14:	2.673331800906E-05
15:	2.792382838379E-05
16:	2.927277091658E-05
17:	3.079902671743E-05
18:	3.221904989914E-05
19:	3.339119575685E-05
20:	3.441025910433E-05
21:	3.558876051102E-05
22:	3.713664409588E-05
23:	3.889539584634E-05
24:	4.043476292281E-05
25:	4.165162681602E-05
26:	4.266874384484E-05
27:	4.380282553029E-05
28:	4.520868969848E-05
29:	4.671932765632E-05
30:	4.811952749151E-05
31:	4.928846101393E-05
32:	5.034640344093E-05
33:	5.147434785613E-05
34:	5.275420335238E-05
35:	5.410668018158E-05
36:	5.538432742469E-05
37:	5.649889862980E-05
38:	5.752679862780E-05
39:	5.860549208592E-05
40:	5.978432454867E-05
41:	6.101616600063E-05
42:	6.219116767170E-05
43:	6.325432332233E-05
44:	6.429043423850E-05
45:	6.542415212607E-05
46:	6.661104271188E-05
47:	6.782764103264E-05
48:	6.901416054461E-05
49:	7.014524453552E-05
50:	7.123908289941E-05
51:	7.234975782922E-05
52:	7.350264786510E-05
53:	7.467080286006E-05
54:	7.581948739244E-05
55:	7.692154031247E-05
56:	7.800125604263E-05
57:	7.908972474979E-05
58:	8.019775123103E-05
59:	8.132251241477E-05
60:	8.243026968557E-05
61:	8.350676216651E-05
62:	8.456635987386E-05
63:	8.562814764446E-05
64:	8.670351235196E-05
65:	8.778854680713E-05
66:	8.886141586117E-05
67:	8.991557115223E-05
68:	9.095151472138E-05
69:	9.199282067129E-05
70:	9.304565173807E-05
71:	9.409759513801E-05
72:	9.517786384095E-05
73:	9.624153608456E-05
74:	9.729157318361E-05
75:	9.835150558501E-05
76:	9.941480675479E-05
77:	1.004861187539E-04
78:	1.015500747599E-04
79:	1.026006939355E-04
80:	1.036492467392E-04
81:	1.046945908456E-04
82:	1.057488334482E-04
83:	1.068025521818E-04
84:	1.078537679859E-04
85:	1.088953431463E-04
86:	1.099317887565E-04
87:	1.109699805966E-04
88:	1.120095912484E-04
89:	1.130479140556E-04
90:	1.140876775025E-04
91:	1.151205797214E-04
92:	1.161508916994E-04
93:	1.171743351733E-04
94:	1.182003325084E-04
95:	1.192381678266E-04
96:	1.202582279802E-04
97:	1.212834977196E-04
98:	1.222953433171E-04
99:	1.233157090610E-04
100:	1.243448932655E-04
101:	1.253733062185E-04
102:	1.264030579478E-04
103:	1.274286914850E-04
104:	1.284483150812E-04
105:	1.294729590882E-04
106:	1.304941833951E-04
107:	1.315220288234E-04
108:	1.325425109826E-04
