0:	1.095544939744E-05
1:	1.929866084538E-05
2:	2.677717202459E-05
3:	3.504216510919E-05
4:	4.409993198351E-05
5:	5.204553599469E-05
6:	5.954210791970E-05
7:	6.628918345086E-05
8:	7.233877840918E-05
9:	7.900952914497E-05
10:	8.507544407621E-05
11:	9.187145769829E-05
12:	9.927501378115E-05
13:	1.047434634529E-04
14:	1.091536396416E-04
15:	1.144393827417E-04
16:	1.204084474011E-04
17:	1.271027431358E-04
18:	1.334209082415E-04
19:	1.388242671965E-04
20:	1.437496393919E-04
21:	1.493128802394E-04
22:	1.561996759847E-04
23:	1.638698886381E-04
24:	1.708033087198E-04
25:	1.766329951352E-04
26:	1.817890879465E-04
27:	1.873970177257E-04
28:	1.940217189258E-04
29:	2.010658790823E-04
30:	2.077419339912E-04
31:	2.136403345503E-04
32:	2.191745006712E-04
33:	2.250298130093E-04
34:	2.314812300028E-04
35:	2.382393722655E-04
36:	2.447799779475E-04
37:	2.508175093681E-04
38:	2.565644681454E-04
39:	2.625102351885E-04
40:	2.689063549042E-04
41:	2.755483437795E-04
42:	2.820263034664E-04
43:	2.881322870962E-04
44:	2.941488928627E-04
45:	3.004942554981E-04
46:	3.070937527809E-04
47:	3.138443862554E-04
48:	3.205346583854E-04
49:	3.270353190601E-04
50:	3.334298380651E-04
51:	3.399075940251E-04
52:	3.465850895736E-04
53:	3.533838025760E-04
54:	3.601273056120E-04
55:	3.667291894089E-04
56:	3.732695768122E-04
57:	3.798761754297E-04
58:	3.866158076562E-04
59:	3.934367559850E-04
60:	4.002375644632E-04
61:	4.069554852322E-04
62:	4.136247735005E-04
63:	4.203434800729E-04
64:	4.271700745448E-04
65:	4.340707673691E-04
66:	4.409639223013E-04
67:	4.478103364818E-04
68:	4.546476120595E-04
69:	4.615365760401E-04
70:	4.685071180575E-04
71:	4.755377303809E-04
72:	4.826218937524E-04
73:	4.896910395473E-04
74:	4.967574495822E-04
75:	5.038668750785E-04
76:	5.110467900522E-04
77:	5.182817112654E-04
78:	5.255287978798E-04
79:	5.327692488208E-04
80:	5.400180234574E-04
81:	5.473078927025E-04
82:	5.546474712901E-04
83:	5.620301817544E-04
84:	5.694315186702E-04
85:	5.768399569206E-04
86:	5.842573591508E-04
87:	5.917065427639E-04
88:	5.992007208988E-04
89:	6.067326175980E-04
90:	6.142830243334E-04
91:	6.218412891030E-04
92:	6.294165505096E-04
93:	6.370231858455E-04
94:	6.446636980399E-04
95:	6.523354095407E-04
96:	6.600284832530E-04
97:	6.677375058644E-04
98:	6.754621281289E-04
99:	6.832134095021E-04
100:	6.909969379194E-04
101:	6.988103268668E-04
102:	7.066450780258E-04
103:	7.144953706302E-04
104:	7.223663851619E-04
105:	7.302658632398E-04
106:	7.381946779788E-04
107:	7.461550412700E-04
108:	7.541423547082E-04
109:	7.621555705555E-04
110:	7.701942231506E-04
111:	7.782632019371E-04
112:	7.863660575822E-04
113:	7.944985409267E-04
114:	8.026570430957E-04
115:	8.108373731375E-04
116:	8.190431981348E-04
117:	8.272777777165E-04
118:	8.355394820683E-04
119:	8.438282529823E-04
120:	8.521406562068E-04
121:	8.604743634351E-04
122:	8.688305388205E-04
123:	8.772073779255E-04
124:	8.856084314175E-04
125:	8.940316620283E-04
126:	9.024727623910E-04
127:	9.109309175983E-04
128:	9.194073500112E-04
129:	9.279021178372E-04
130:	9.364138240926E-04
131:	9.449435747229E-04
132:	9.534886921756E-04
133:	9.620480122976E-04
134:	9.706199634820E-04
135:	9.792061755434E-04
136:	9.878053097054E-04
137:	9.964205091819E-04
138:	1.005043974146E-03
139:	1.013676519506E-03
140:	1.022320939228E-03
141:	1.030976069160E-03
142:	1.039637601934E-03
143:	1.048309495673E-03
144:	1.056987443008E-03
145:	1.065672957338E-03
146:	1.074362895451E-03
147:	1.083059352823E-03
148:	1.091758953407E-03
149:	1.100466819480E-03
150:	1.109174569137E-03
151:	1.117884414271E-03
152:	1.126597286202E-03
153:	1.135312253609E-03
154:	1.144027686678E-03
155:	1.152742188424E-03
156:	1.161457970738E-03
157:	1.170169212855E-03
158:	1.178880454972E-03
159:	1.187588903122E-03
160:	1.196293742396E-03
161:	1.204994390719E-03
162:	1.213689334691E-03
163:	1.222379971296E-03
164:	1.231063739397E-03
165:	1.239742967300E-03
166:	1.248412532732E-03
167:	1.257074065506E-03
168:	1.265727798454E-03
169:	1.274370355532E-03
170:	1.283004065044E-03
171:	1.291626016609E-03
172:	1.300237374380E-03
173:	1.308835344389E-03
174:	1.317421672866E-03
175:	1.325993333012E-03
176:	1.334550208412E-03
177:	1.343091367744E-03
178:	1.351617276669E-03
179:	1.360126771033E-03
180:	1.368620316498E-03
181:	1.377094653435E-03
182:	1.385549665429E-03
183:	1.393985119648E-03
184:	1.402400317602E-03
185:	1.410794910043E-03
186:	1.419168547727E-03
187:	1.427519251592E-03
188:	1.435847603716E-03
189:	1.444148016162E-03
190:	1.452428754419E-03
191:	1.460680621676E-03
192:	1.468909787945E-03
193:	1.477109268308E-03
194:	1.485280576162E-03
195:	1.493425108492E-03
196:	1.501539954916E-03
197:	1.509624184109E-03
198:	1.517677446827E-03
199:	1.525698346086E-03
200:	1.533683622256E-03
201:	1.541638397612E-03
202:	1.549557200633E-03
203:	1.557438285090E-03
204:	1.565283746459E-03
205:	1.573090441525E-03
206:	1.580857555382E-03
207:	1.588580431417E-03
208:	1.596265123226E-03
209:	1.603901037015E-03
210:	1.611492829397E-03
211:	1.619034213945E-03
212:	1.626526936889E-03
213:	1.633963896893E-03
214:	1.641343464144E-03
215:	1.648661913350E-03
216:	1.655914238654E-03
217:	1.663096598350E-03
218:	1.670199679211E-03
219:	1.677220221609E-03
220:	1.684147282504E-03
221:	1.690973527730E-03
222:	1.697688479908E-03
223:	1.704283524305E-03
224:	1.710750046186E-03
225:	1.717077218927E-03
226:	1.723252935335E-03
227:	1.729268347844E-03
228:	1.735115889460E-03
229:	1.740794512443E-03
230:	1.746287452988E-03
231:	1.751595642418E-03
232:	1.756716170348E-03
233:	1.761657418683E-03
234:	1.766422996297E-03
235:	1.771014067344E-03
236:	1.775427372195E-03
237:	1.779671409167E-03
238:	1.783750834875E-03
239:	1.787671004422E-03
240:	1.791440532543E-03
241:	1.795069663785E-03
242:	1.798575511202E-03
243:	1.801960985176E-03
244:	1.805245643482E-03
245:	1.808441826142E-03
246:	1.811563386582E-03
247:	1.814623246901E-03
248:	1.817629672587E-03
249:	1.820597448386E-03
250:	1.823537168093E-03
251:	1.826453139074E-03
252:	1.829356653616E-03
253:	1.832250272855E-03
254:	1.835138886236E-03
255:	1.838027033955E-03
256:	1.840909360908E-03
257:	1.843789825216E-03
258:	1.846665050834E-03
259:	1.849532709457E-03
260:	1.852395012975E-03
261:	1.855244860053E-03
262:	1.858085626736E-03
263:	1.860914635472E-03
264:	1.863731653430E-03
265:	1.866540056653E-03
266:	1.869333093055E-03
267:	1.872114604339E-03
268:	1.874884357676E-03
269:	1.877640024759E-03
270:	1.880383817479E-03
271:	1.883114804514E-03
272:	1.885827165097E-03
273:	1.888527884148E-03
274:	1.891214167699E-03
275:	1.893884735182E-03
276:	1.896542147733E-03
277:	1.899183145724E-03
278:	1.901820069179E-03
279:	1.904446049593E-03
280:	1.907068421133E-03
281:	1.909685553983E-03
282:	1.912303152494E-03
283:	1.914911903441E-03
284:	1.917509594932E-03
285:	1.920086098835E-03
286:	1.922642695718E-03
287:	1.925176358782E-03
288:	1.927690464072E-03
289:	1.930178957991E-03
290:	1.932649640366E-03
291:	1.935095991939E-03
292:	1.937524182722E-03
293:	1.939933747053E-03
294:	1.942322007380E-03
295:	1.944693503901E-03
296:	1.947045908310E-03
297:	1.949375378899E-03
298:	1.951682264917E-03
299:	1.953967381269E-03
300:	1.956223044544E-03
301:	1.958449371159E-03
302:	1.960651250556E-03
303:	1.962819835171E-03
304:	1.964959315956E-03
305:	1.967067597434E-03
306:	1.969144213945E-03
307:	1.971181947738E-03
308:	1.973178237677E-03
309:	1.975131453946E-03
310:	1.977040898055E-03
311:	1.978895626962E-03
312:	1.980694010854E-03
313:	1.982433721423E-03
314:	1.984099391848E-03
315:	1.985697774217E-03
316:	1.987218623981E-03
317:	1.988664967939E-03
318:	1.990027725697E-03
319:	1.991311088204E-03
320:	1.992516918108E-03
321:	1.993642654270E-03
322:	1.994691090658E-03
323:	1.995668048039E-03
324:	1.996570266783E-03
325:	1.997401937842E-03
326:	1.998171443120E-03
327:	1.998870866373E-03
328:	1.999506726861E-03
329:	2.000085078180E-03
330:	2.000602660701E-03
331:	2.001061802730E-03
332:	2.001467859372E-03
333:	2.001821761951E-03
334:	2.002120949328E-03
335:	2.002375666052E-03
336:	2.002579392865E-03
337:	2.002740278840E-03
338:	2.002859953791E-03
339:	2.002935856581E-03
340:	2.002976834774E-03
341:	2.003006171435E-03
342:	2.003031782806E-03
343:	2.003032714128E-03
344:	2.003005938604E-03
345:	2.002951223403E-03
346:	2.002874156460E-03
347:	2.002772875130E-03
348:	2.002652501687E-03
349:	2.002515364438E-03
350:	2.002358203754E-03
351:	2.002186840400E-03
352:	2.002003835514E-03
353:	2.001809421927E-03
354:	2.001606393605E-03
355:	2.001395216212E-03
356:	2.001179847866E-03
357:	2.000961452723E-03
358:	2.000742126256E-03
359:	2.000521402806E-03
360:	2.000299980864E-03
361:	2.000082982704E-03
362:	1.999866450205E-03
363:	1.999655272812E-03
364:	1.999445026740E-03
365:	1.999241998419E-03
366:	1.999041531235E-03
367:	1.998845487833E-03
368:	1.998653868213E-03
369:	1.998467603698E-03
370:	1.998284133151E-03
371:	1.998103456572E-03
372:	1.997927669436E-03
373:	1.997757237405E-03
374:	1.997586106881E-03
375:	1.997419865802E-03
376:	1.997254788876E-03
377:	1.997092505917E-03
378:	1.996928593144E-03
379:	1.996769336984E-03
380:	1.996609847993E-03
381:	1.996450824663E-03
382:	1.996294362471E-03
383:	1.996138598770E-03
384:	1.995980739594E-03
385:	1.995824510232E-03
386:	1.995663857087E-03
387:	1.995504600927E-03
388:	1.995338825509E-03
389:	1.995171653107E-03
390:	1.995002850890E-03
391:	1.994829392061E-03
392:	1.994654303417E-03
393:	1.994478749111E-03
394:	1.994302729145E-03
395:	1.994124148041E-03
396:	1.993952551857E-03
397:	1.993781654164E-03
398:	1.993614481762E-03
399:	1.993457321078E-03
400:	1.993306213990E-03
401:	1.993166981265E-03
402:	1.993048237637E-03
403:	1.992962788790E-03
404:	1.992899226025E-03
405:	1.992859411985E-03
406:	1.992847071961E-03
407:	1.992866862565E-03
408:	1.992934150621E-03
409:	1.993044745177E-03
410:	1.993195852265E-03
411:	1.993387937546E-03
412:	1.993623329327E-03
413:	1.993905985728E-03
414:	1.994233345613E-03
415:	1.994610764086E-03
416:	1.995031256229E-03
417:	1.995507394895E-03
418:	1.996033592150E-03
419:	1.996614970267E-03
420:	1.997258281335E-03
421:	1.997959800065E-03
422:	1.998721156269E-03
423:	1.999539090320E-03
424:	2.000411273912E-03
425:	2.001341897994E-03
426:	2.002329798415E-03
427:	2.003369620070E-03
428:	2.004465786740E-03
429:	2.005614340305E-03
430:	2.006817841902E-03
431:	2.008074894547E-03
432:	2.009382238612E-03
433:	2.010742900893E-03
434:	2.012159908190E-03
435:	2.013636520132E-03
436:	2.015172038227E-03
437:	2.016758779064E-03
438:	2.018402330577E-03
439:	2.020095940679E-03
440:	2.021840075031E-03
441:	2.023636363447E-03
442:	2.025478985161E-03
443:	2.027369802818E-03
444:	2.029311843216E-03
445:	2.031298354268E-03
446:	2.033335389569E-03
447:	2.035428071395E-03
448:	2.037566620857E-03
449:	2.039755228907E-03
450:	2.041993895546E-03
451:	2.044280758128E-03
452:	2.046622568741E-03
453:	2.049018861726E-03
454:	2.051474060863E-03
455:	2.053988398984E-03
456:	2.056564670056E-03
457:	2.059204736724E-03
458:	2.061910927296E-03
459:	2.064683241770E-03
460:	2.067527500913E-03
461:	2.070434158668E-03
462:	2.073404146358E-03
463:	2.076433273032E-03
464:	2.079523168504E-03
465:	2.082667313516E-03
466:	2.085863845423E-03
467:	2.089111367241E-03
468:	2.092408016324E-03
469:	2.095752395689E-03
470:	2.099135424942E-03
471:	2.102561760694E-03
472:	2.106021391228E-03
473:	2.109516644850E-03
474:	2.113042864949E-03
475:	2.116593997926E-03
476:	2.120166085660E-03
477:	2.123755635694E-03
478:	2.127357060090E-03
479:	2.130966167897E-03
480:	2.134579000995E-03
481:	2.138196490705E-03
482:	2.141810022295E-03
483:	2.145420294255E-03
484:	2.149025211111E-03
485:	2.152621047571E-03
486:	2.156207337976E-03
487:	2.159778960049E-03
488:	2.163333585486E-03
489:	2.166868420318E-03
490:	2.170382998884E-03
491:	2.173864049837E-03
492:	2.177317626774E-03
493:	2.180732088163E-03
494:	2.184109063819E-03
495:	2.187436679378E-03
496:	2.190719358623E-03
497:	2.193944994360E-03
498:	2.197115216404E-03
499:	2.200224902481E-03
500:	2.203274983913E-03
501:	2.206262201071E-03
502:	2.209184924141E-03
